Reward is: -6| input type: 2| time:91
Reward is: 7.5485590345719284| input type: 2| time:15725
Reward is: 7.667264286209555| input type: 2| time:15784
Reward is: 7.160202376982745| input type: 2| time:15844
Reward is: 7.634480518453262| input type: 2| time:15903
Reward is: 7.051271031884586| input type: 2| time:15960
Reward is: 7.528971356504104| input type: 2| time:16018
Reward is: 7.691836392178255| input type: 2| time:16078
Reward is: 7.605803643955904| input type: 2| time:16136
Reward is: 7.664505187202902| input type: 2| time:16195
Reward is: 7.5390282308354095| input type: 2| time:16253
Reward is: 7.671586071743684| input type: 2| time:16313
Reward is: 7.586048133233014| input type: 2| time:16373
Reward is: 7.495603666586034| input type: 2| time:16431
Reward is: 7.62732000911937| input type: 2| time:16489
Reward is: 7.840374063043034| input type: 2| time:16556
Reward is: 7.79817210225498| input type: 2| time:16623
Reward is: 7.771485679289874| input type: 2| time:16689
Reward is: 7.731556191163905| input type: 2| time:16754
Reward is: 7.76642589709338| input type: 2| time:16820
Reward is: 7.7487340674680825| input type: 2| time:16886
Reward is: 7.850408848594217| input type: 2| time:16954
Reward is: 7.700941794058856| input type: 2| time:17019
Reward is: 7.77185710738687| input type: 2| time:17085
Reward is: 7.774348322082968| input type: 2| time:17152
Reward is: 7.462049862917732| input type: 2| time:17209
Reward is: 7.517885586794685| input type: 2| time:17267
Reward is: 7.469857762841618| input type: 2| time:17324
Reward is: 7.625672964488759| input type: 2| time:17383
Reward is: 7.522993017645443| input type: 2| time:17441
Reward is: 7.533472986782298| input type: 2| time:17499
Reward is: 7.7527108262566955| input type: 2| time:17565
Reward is: 7.75410673197578| input type: 2| time:17631
Reward is: 7.768059814677519| input type: 2| time:17698
Reward is: 7.851037011427038| input type: 2| time:17765
Reward is: 7.702576447935665| input type: 2| time:17831
Reward is: 7.731884156956392| input type: 2| time:17896
Reward is: 7.779123874271617| input type: 2| time:17963
Reward is: 7.741448809118832| input type: 2| time:18029
Reward is: 7.921261892599218| input type: 2| time:18097
Reward is: 8.416161740527434| input type: 2| time:18165
Reward is: 7.881193539675545| input type: 2| time:18233
Reward is: 8.372064856921925| input type: 2| time:18300
Reward is: 7.851727696026073| input type: 2| time:18368
Reward is: 8.294584295328926| input type: 2| time:18435
Reward is: 7.827986212337718| input type: 2| time:18502
Reward is: 8.335647779352524| input type: 2| time:18569
Reward is: 8.478807288057663| input type: 2| time:18638
Reward is: 7.819130862460417| input type: 2| time:18705
Reward is: 7.805174455923193| input type: 2| time:18772
